誰が優勝すると思う？,Who do you think will win?,1.mp3,img.jpg
商品券じゃなくて金くれって感じだよね。,"It's like, give us money, not gift certificates, you know?",2.mp3,img.jpg
先生のおばあさんは何歳ですか？,"How old is your grandmother, sensei?",3.mp3,img.jpg
これは田中さんのおじいさんの万年筆です。,This is Tanaka-san's grandfather's (fountain) pen.,4.mp3,img.jpg
コンビニで高校の友達に会った。,I saw a friend from high school at the convenience store.,5.mp3,img.jpg
高校生の時が一番楽しかった。,High school was the most fun for me.,6.mp3,img.jpg
明日は家にいらっしゃいますか？,Will you be at home tomorrow?,7.mp3,img.jpg
気が付いたら家で寝てた。,"The next thing I knew, I was at home in bed.",8.mp3,img.jpg
誕生日いつ？,When's your birthday?,9.mp3,img.jpg
お誕生日おめでとうございます！,Happy birthday!,10.mp3,img.jpg
何貰ったの？,What did you get?,11.mp3,img.jpg
それは犬の餌です。,That's dog food.,12.mp3,img.jpg
昨日は姪の誕生日だった。,Yesterday was my niece's birthday.,13.mp3,img.jpg
お小遣いいくらもらってる？,How much allowance do you get?,14.mp3,img.jpg
見つかった？,Did you find it?,15.mp3,img.jpg
彼氏のお母さんって気つかうよねー。,"You can't just relax and be yourself around your boyfriend's mom, huh?",16.mp3,img.jpg
新宿の次は代々木です。,After Shinjuku is Yoyogi.,17.mp3,img.jpg
代々木公園はかなり広い。,Yoyogi Park is quite big.,18.mp3,img.jpg
コンビニでお菓子とお酒を買った。,I bought snacks and alcohol at the convenience store.,19.mp3,img.jpg
家の隣にコンビニがある。,There is a convenience store next to my house.,20.mp3,img.jpg
息子は高校生です。,My son is a high school student.,21.mp3,img.jpg
娘は高校生です。,My daughter is a high school student.,22.mp3,img.jpg
失くした指輪見つかった？,Did you find the ring you lost?,23.mp3,img.jpg
明日動物園行かない？,Wanna go to the zoo tomorrow?,24.mp3,img.jpg
まあちゃんが好きな飴買ってきたよ。,I got some of the candy you like.,25.mp3,img.jpg
あの人たち誰？,Who are those people?,26.mp3,img.jpg
