試験どうだった？難しかった？,How was the [your] test? Was it hard?,1.mp3,img.jpg
昨日、初めてインド料理レストランに行った。,"Yesterday, I went to an Indian restaurant for the first time.",2.mp3,img.jpg
本物のねずみ見たの人生で初めて。,It's the first time in my life that I've ever seen a rat [mouse].,3.mp3,img.jpg
お母さんに叱られた。,My mom got mad at me. // My mom yelled at me. // My mom scolded me.,4.mp3,img.jpg
社長に叱られた。,I got told off [scolded] by the (company) president.,5.mp3,img.jpg
意地悪！,You're mean!,6.mp3,img.jpg
万年筆を失くした。,I lost my (fountain) pen.,7.mp3,img.jpg
明日早いからもう寝るわ。,I'm going to bed. I gotta get up early tomorrow.,8.mp3,img.jpg
風でバイクが倒れた。,My motorcycle got blown over by the wind.,9.mp3,img.jpg
お姉さん、なんか落としましたよ。,"Miss, you dropped something.",10.mp3,img.jpg
電気消して。,Turn off the lights.,11.mp3,img.jpg
汚さないでね。,"Don't get it dirty, OK?",12.mp3,img.jpg
ありがとう。助かったよ。,Thank you. That was a big help.,13.mp3,img.jpg
校長先生の話はいつも長い。,The principal always talks for a long time.,14.mp3,img.jpg
飲み切れなかった。,I couldn't drink it all.,15.mp3,img.jpg
壊さないでね。,"Don't break it, OK?",16.mp3,img.jpg
全部終わるまで寝ないぞ。,I'm not going to bed until it's all finished.,17.mp3,img.jpg
日本もアメリカも人口が多い。,Both Japan and the U.S. have high populations.,18.mp3,img.jpg
世界の人口はどんどん増えている。,The world's population is increasing rapidly.,19.mp3,img.jpg
窓が割れた。,The window broke.,20.mp3,img.jpg
折れてるぞ。,It's bent. // Your bone is broken.,21.mp3,img.jpg
それ商品じゃないよ。,That isn't for sale.,22.mp3,img.jpg
そろそろお金返してよ。,Give me back my money. // I'm still waiting for you to pay me back.,23.mp3,img.jpg
あんまり無理しないで。体壊しちゃうよ。,Don't push yourself too hard. You'll get sick.,24.mp3,img.jpg
